Cluster ID,confidence_score,ID,Has Duplicate,dup_of,Title,Title (Original Script),Author,Author (Original Script),Format,Language,Published/Created,Date,Description,Series,Library,Location,Call Number,Notes,Edition
5,0.9058037,'99125354463706421',FALSE,,Ireland's exiled children : America and the easter rising,,"Schmuhl, Robert",,Book,English,"New York, New York: Oxford University Press",2016,1 online resource (250 p.),,,,,Description based upon print version of record.,
5,0.9058037,'9996451853506421',FALSE,,Ireland's Exiled Children : America and the Easter Rising,,"Schmuhl, Robert",,Book,English,"New York, NY: Oxford University Press",2016,"xvii, 210 pages, 16 unnumbered pages of plates : illustrations ; 25 cm",,Firestone Library,Stacks,DA962 .S36 2016,,
10,0.9749974,'SCSB-8173371',FALSE,,Joyce Kilmer,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: George H. Doran Company,1918,"2 v. fronts., pl., ports., fold. facsim. 22 cm.",,ReCAP,Remote Storage,"NBG (Kilmer, J. Joyce Kilmer)","Half-title: Joyce Kilmer; poems, essays and letters.; Reprinted in part from various sources.",
37,0.8103986,'999970303506421',FALSE,,Joyce Kilmer,,"Kilmer, Joyce, 1886-1918",,Book,English,"Port Washington, N.Y.: Kennikat Press",1968,"2 volumes illustrations, facsimile, portraits 19 cm.",Essay and general literature index reprint series,ReCAP,Remote Storage,PS3521 .I38 1968,,
91,1.0,'SCSB-4463178',FALSE,,"Joyce Kilmer - poet, patriot and man",,"McCormack, Edward Joseph",,Manuscript; Book,English,,1929,1 v.,,ReCAP,Remote Storage,MA 1929 MCCOE,Masters essay. Columbia University. English.,
10,0.9796219,'9969142853506421',FALSE,,"Joyce Kilmer, ed. with a memoir",,"Kilmer, Joyce, 1886-1918",,Book,English,,1918,2 volumes,,ReCAP,Remote Storage,PS3521 .I38 1918,American miscellany.,
129,1.0,'SCSB-4446875',FALSE,,Joyce Kilmer; his life and works,,"Ippoliti, Helen Grace, Sister",,Manuscript; Book,English,,1947,1 v.,,ReCAP,Remote Storage,MA 1947 IPPOH,Masters essay. Columbia University. English.,
10,0.9703314,'99125323523606421',FALSE,,Joyce Kilmer: Edited With a Memoir By Robert Cortes Holliday,,"Kilmer, Joyce",,Book,English,New York: George H. Doran Company,1918,1 online resource,,,,,Published [1918]. Only verse (vol. I) included.,
16,0.5654297,'99125448801706421',FALSE,,"Joyce Kilmer: Poems, Essays and Letters in Two Volumes. Volume 1, Memoirs and Poems",,"Kilmer, Joyce 1886-1918",,Book,English,Project Gutenberg,2021,,,,,,,
28,0.9537018,'SCSB-6463520',FALSE,,Joyce Kilmer's anthology of Catholic poets,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: Liveright publishing corporation,1939,389 p.,,ReCAP,Remote Storage,ReCAP .b171895502,,
28,0.9537018,'9916240053506421',FALSE,,Joyce Kilmer's anthology of Catholic poets,,,,Book,English,New York: Liveright Pub. Corp,1939,389 p. ; 23 cm.,,ReCAP,Remote Storage,PR1195.C4 D743 1939,"First published under title: Dreams and images : an anthology of Catholic poets. New York : Boni and Liveright, 1917.; Title on added t.p.: An Anthology of Catholic poets.; 1926 edition edited, with supplementary poems, by Shaemas O'Sheel.",Black & gold ed.
103,1.0,'9915801023506421',FALSE,,Kilmer and Campion,,"Campion Jesuit High School (Prairie du Chien, Wis.)",,Book,English,"Prairie du Chien, Wis.: Printed by Howe Print. Co.",1937,"103 pages, illustrations, plates, portraits 24 cm",,Firestone Library,Stacks,PS3521.I38 Z654 1937,Campion's tribute to Joyce Kilmer in connection with the dedication of the Joyce Kilmer Memorial Library. cf. Foreword.,
123,1.0,'SCSB-5856029',FALSE,,Lider far yugnṭ,לידער פאר יוגנט /,"Olitzky, Mates, 1915-2008","אליצקי, מ.",Book,Yiddish; English,"Amherst: National Yiddish Book Center; ניו־יארק :: בילדונגס־קאמיטעט פון ארבעטער־רינג, ",1999,93 pages ; 24 cm.,Steven Spielberg digital Yiddish library ; no. 207.; Max Palevsky Yiddish literature collection.; Noah E. Cotsen library of Yiddish children's literature.; Steven Spielberg Digital Yiddish Library ; no. 00207; Max Palevsky Yiddish Literature Collection,ReCAP,Remote Storage,PJ5129.O525 L53 1999g,"Title on t.p. verso: Poems for youth.; Includes translations into Yidish of poems by R.L. Stevenson, Richard Wilbur, Laura E. Richards, Walter De la Mare, Sara Teasdale, Robert Frost, Emily Dickenson, Joyce Kilmer and Ch. G. Rossetti.; ״פון ענגל׳ש״: p. [69]-93.",
70,1.0,'9914530963506421',FALSE,,Literature in the making,,"Kilmer, Joyce, 1886-1918",,Book,English,London: Harper & Brothers,1917,"[16], 318, [1] pages ; 19 cm",,ReCAP,Remote Storage,PN94 .K5 1917,,
78,1.0,'SCSB-2421768',FALSE,,Literature in the making ; by some of its makers,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: Harper,1917,318 pages ; 19 cm,,ReCAP,Remote Storage,810.9 K558,,
141,1.0,'99125277866006421',FALSE,,"Literature in the Making, by Some of Its Makers",,"Kilmer, Joyce 1886-1918",,Book,English,Project Gutenberg,2010,,,,,,,
19,0.9647838,'SCSB-2451081',TRUE,'9925545773506421',Main street : and other poems,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: George H. Doran company,1917,78 pages ; 21 cm,,ReCAP,Remote Storage,812K558 T,Reprinted in part from various periodicals.,
140,1.0,'99125312467606421',FALSE,,"Main Street, and Other Poems",,"Kilmer, Joyce 1886-1918",,Book,English,Project Gutenberg,2008,,,,,,,
19,0.97155064,'9925545773506421',TRUE,'SCSB-2451081',"Main street, and other poems",,"Kilmer, Joyce, 1886-1918",,Book,English,New York: George H. Doran company,1917,78 p. ; 21 cm.,,Special Collections,Rare Books,3812.42.361,Reprinted in part from various periodicals.; Title within border.,
19,0.97155064,'SCSB-8172823',TRUE,'9925545773506421',"Main street, and other poems",,"Kilmer, Joyce, 1886-1918",,Book,English,New York: George H. Doran company,1917,78 p. ; 21 cm.,,ReCAP,Remote Storage,"NBI (Kilmer, J. Main street)",Reprinted in part from various periodicals.; Title within border.; From the library of Malcolm Cowley.,
72,1.0,'9910746813506421',FALSE,,"Memories of my father, Joyce Kilmer",,"Kilmer, Kenton, 1909-1995",,Book,English,"New Brunswick, N.J.: Joyce Kilmer Centennial Commission",1993,270 p. : ill. ; 24 cm.,,Forrestal Annex,A,PS3521.I38 Z74 1993,Includes indexes.,1st ed.
11,0.9402578,'SCSB-7733526',TRUE,'SCSB-2451470',Memories of my son Sergeant Joyce Kilmer,,"Kilmer, Annie Kilburn, d. 1932",,Book,English,New York: Brentano's,1920,"7 p. l., 141 p. front., plates, ports. 21 cm.",,ReCAP,Remote Storage,"AN (Kilmer) (Kilmer, A. K. Memories of my son Sergeant Joyce Kilmer)","""Only limited edition printed from type and the type is distributed.""",
11,0.8798636,'SCSB-2451470',TRUE,'SCSB-7733526',Memories of my son Sergeant Joyce Kilmer : with numerous unpublished poems and letters,,"Kilmer, Annie Kilburn, -1932",,Book,English,New York: Brentano's,1920,"141 pages : frontispiece, plates, portraits ; 21 cm",,ReCAP,Remote Storage,812K558 BK,"""Only limited edition printed from type and the type is distributed.""",
